epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,198.891,1.68091,4.30693,0.03031,0.73975,0.51909,0.58721,0.43494,1.38419,2.4725,0.0254,0.00996169,0.00332056,0.00996169,0.00332056,0.00996169,0.00332056,0.00996169,0.00332056
2,199.612,1.41693,2.06176,0.02288,0.71128,0.56915,0.64421,0.43473,1.49116,1.69089,0.02605,0.0197641,0.00658802,0.0197641,0.00658802,0.0197641,0.00658802,0.0197641,0.00658802
3,183.414,1.45785,1.79034,0.02347,0.76174,0.60284,0.67615,0.39178,1.70254,1.61826,0.02836,0.0293684,0.00978948,0.0293684,0.00978948,0.0293684,0.00978948,0.0293684,0.00978948
4,354.061,1.51324,1.73682,0.02427,0.78172,0.6844,0.73706,0.45329,1.62198,1.42572,0.02877,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,462.788,1.45296,1.63711,0.02323,0.76166,0.46462,0.55975,0.36245,1.61538,2.01033,0.02717,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,135.76,1.43723,1.59393,0.02278,0.82531,0.64184,0.75555,0.48509,1.54035,1.1562,0.02566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,263.19,1.3773,1.4793,0.02164,0.83107,0.65426,0.75655,0.52349,1.40197,1.11369,0.02565,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,396.635,1.33738,1.44182,0.02105,0.86039,0.68838,0.79296,0.56028,1.30285,0.99908,0.02288,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,523.794,1.33775,1.43124,0.02093,0.83746,0.6578,0.76583,0.51484,1.46755,1.04523,0.02599,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,656.353,1.31971,1.40764,0.02051,0.81416,0.7305,0.79949,0.55429,1.31402,0.95854,0.02276,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,797.452,1.30156,1.36043,0.02024,0.83761,0.68591,0.79769,0.54913,1.32774,0.9486,0.02237,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,935.718,1.28891,1.36218,0.02002,0.71339,0.68406,0.72661,0.50105,1.39797,1.10918,0.02386,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1071.55,1.27336,1.32,0.01976,0.84702,0.67553,0.78271,0.56245,1.26371,0.98941,0.02297,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1203.87,1.251,1.30382,0.01933,0.82409,0.68085,0.78257,0.55022,1.30908,0.98501,0.02236,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1327.56,1.24229,1.26642,0.01909,0.83115,0.71277,0.8174,0.60779,1.15503,0.85361,0.02028,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1448.62,1.22985,1.25592,0.01899,0.86992,0.69858,0.8176,0.59805,1.20971,0.88549,0.0206,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1576.35,1.21196,1.22641,0.01836,0.86653,0.71454,0.81951,0.58688,1.19531,0.94666,0.02011,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1702.14,1.21156,1.22932,0.01837,0.84783,0.70922,0.81353,0.59459,1.18179,0.83968,0.01967,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
